_unit_id,text_no_rt,predicted_class1,predicted_class2,predicted_where_caution_x,type_of_caution_x,predicted_where_donation,type_of_donation,intention,predicted_where_casuality,infrastructure_or_people
204690733,Platte County MO until a tornado watch until 3a.m.,Informative,Caution and advice,,A tornado/thunderstorm warning has been issued or has been lifted,,,,,
204690734,Psalm 7:13  [God] hath also prepared for [the wicked] the instruments of death; he ordaineth his arrows against the persec ...,Personal,Caution and advice,,Other,,,,,
204690735,Tornado WARNING for Tarrant county. Storm spotters were reporting a funnel cloud but the heavy rain has wrapped around the area.,Informative,Caution and advice,,A tornado/thunderstorm warning has been issued or has been lifted,,,,,
204690736,Rice County has again been placed under a Severe Thunderstorm Warning until 8pm. Currently Barton County is under a Tornado Warning.,Informative,Caution and advice,",Tornado Warning",A tornado/thunderstorm warning has been issued or has been lifted,,,,,
204690737,http://www.redcross.org/www-files/Documents/pdf/Preparedness/checklists/Tornado.pdf,Informative,Information source,,,,,,,
204690738,Tornado warning for N. Tarrant County TX (northern Fort Worth area).  Softball size hail possible too. Warning info: h ...,Informative,Caution and advice,,A tornado/thunderstorm warning has been issued or has been lifted,,,,,
204690739,Text REDCROSS to 90999 to help the victims of the Joplin tornado.,Informative,"Donations of money, goods or services",,,,"Other, or not specified",Invites/asks people to donate/provide/give/do something,,
204690740,Speechless. RT:@slmandel If the tornado wreckage photos haven't gotten to you this before-and-after in Joplin will. http: ...,Informative,Information source,,,,,,,
204690741,#SAFETYALERT Folks in #Oklahoma #Kansas #Arkansas & #Missouri watch the @weatherchannel #TheWeatherChannel for #tornado dangers in your area,Informative,Caution and advice,,A tornado/thunderstorm warning has been issued or has been lifted,,,,,
204690742,"Rep. Long @auctnr1 on #FEMA response to #Joplin tornado: ""On a scale from 1 to 10 I'd put 'em at a 12.""",Informative,Information source,,,,,,,
204690743,After saying he'd withhold tornado relief funds National Weather Service upgraded Eric Cantor to a category-5 Asshole.,Informative,Unknown,,,,,,,
204690744,That artic Vs tornado I mentioned earlier... http://goo.gl/suVye  The driver is apparently OK - result.,Informative,Information source,,,,,,,
204690745,Tornado warning now in Washington County and NE Osage County  OK...take shelter now. #okwx,Informative,Caution and advice,,A tornado/thunderstorm warning has been issued or has been lifted,,,,,
204690746,if you live in northern tarrant county stay alert. a tornado may be on the ground near azle. its moving east at 40mph.,Informative,Caution and advice,,A tornado sighting/touchdown has been reported,,,,,
204690747,RT @AP: BREAKING: Authorities say death toll from Joplin Mo. tornado now at 122; more than 750 people injured -CC,Informative,Casualties and damage,,,,,,,A tornado sighting/touchdown has been reported
204690748,5 dead and search going on for missing child after it was sucked from mother's arm as they huddled in bathroom. #OKwx,Informative,"People missing, found or seen",,,,,,,
204690749,Awful RT @cnnbrk #Tornado that killed 122 in Joplin Missouri was EF-5 with top winds of 200+ mph http://on.cnn.com/meJujw,Informative,Casualties and damage,,,,,,,Other
204690751,Kansas City Royals (Official Site) &gt;&gt; Heart to Heart KC helping tornado victims http://buzztap.com/-UUfY70,Informative,"Donations of money, goods or services",,,,"Other, or not specified",Reports that something has been donated/provided/given/done,,
204690752,SPC Tornado Watch 363 Status Reports http://dlvr.it/StNQS,Informative,Caution and advice,,A tornado/thunderstorm warning has been issued or has been lifted,,,,,
204690753,Ghoshen/Springtown in Parker county TAKE TORNADO PRECAUTIONS,Informative,Caution and advice,,A tornado sighting/touchdown has been reported,,,,,
204690754,June Advertising Special! 6 spots open and 100% of proceeds will go to help #Joplin Mo Tornado Victims. Please RT!  ht ...,Personal,"Donations of money, goods or services",,,,"Other, or not specified",Invites/asks people to donate/provide/give/do something,,
204690755,Birmingham tornado debris cleanup contracts go to 3 firms; mayor... http://bit.ly/kK5iLe #Birmingham #AL,Informative,Casualties and damage,,,,,,,A tornado sighting/touchdown has been reported
204690756,pray for the people  in Joplin Missouri. The tornado killed a lot of people,Other,,,,,,,,
204690757,Also a tornado warning for Wise and Denton Counties in Texas...,Informative,Caution and advice,",Texas",A tornado/thunderstorm warning has been issued or has been lifted,,,,,
204690758,JFC. RT @TWCBreaking: New tornado watch until 3am CDT for western MO.  Includes #Joplin.  More info: http://wxch.nl/k6CgxX,Informative,Information source,,,,,,,
204690759,Collin/Dallas  County need to be ready to take cover within the next 20-30 minutes. You need to be  ...,Informative,Caution and advice,,A tornado sighting/touchdown has been reported,,,,,
204690760,BREAKING NEWS: From AP - at least 4 dead after tornado hit Oklahoma City area. Widespread Tornado Warnings remain in effect. #okwx #nc5,Informative,Caution and advice,,A tornado/thunderstorm warning has been issued or has been lifted,,,,,
204690761,Rangers game in a tornado? Perf. @mirandahuebner,Personal,Caution and advice,,Other,,,,,
204690762,@JacksonRathbone I'm worried about you because of the tornado! take care dear!,Personal,Caution and advice,,Other,,,,,
204690763,.man here dhey qo wit dis tornado shxt aqain.!,Informative,Caution and advice,,Other,,,,,
204690764,Tornado Watch just issued for western and southwestern Missouri till 3AM. Does NOT include Columbia or Jeff City at thi ...,Informative,Caution and advice,,A tornado/thunderstorm warning has been issued or has been lifted,,,,,
204690765,Just watched the news. Am sorry for the people living in Missouri they're place became devastated after the tornado attack,Personal,Caution and advice,,Other,,,,,
204690767,Obama heading to tornado-slammed Missouri this weekend | OnyxBook,Informative,Caution and advice,,A tornado sighting/touchdown has been reported,,,,,
204690768,@MarioLopezExtra Actor @paulwalker47 's charity #ROWW.org needs #Donations so that they can deploy a team to #Joplin. Plz RT #HelpJoplin,Informative,Information source,,,,,,,
204690769,Muertes por tornado en Misuri se elevan a 122 http://bit.ly/iYx5hw #USA #EEUU,Other,,,,,,,,
204690770,Triage: Safety first then shout/move walking wounded to safe place  #1stAid4 #okwx #Joplin,Informative,"Donations of money, goods or services",,,,"Other, or not specified",Reports that something has been donated/provided/given/done,,
204690771,my friend near joplin is a ham radio operator and he was correct. #tornado,Informative,Caution and advice,,Other,,,,,
204690772,Tornado reported in Denton County Texas near I-35 W and FM 407. @Ambieno,Informative,Caution and advice,,A tornado sighting/touchdown has been reported,,,,,
204690773,Any idea what KFOR is using for live streaming video from reporter's cars chasing the storms? #okwx,Informative,Information source,,,,,,,
204690774,@TheEllenShow Actor @paulwalker47 's charity #ROWW.org needs #Donations so that they can deploy a team to #Joplin. Plz RT #HelpJoplin,Informative,"Donations of money, goods or services",,,",RT # HelpJoplin","Other, or not specified",Invites/asks people to donate/provide/give/do something,,
204690775,Insane tornado warning....? Cool. Let's hide.,Informative,Caution and advice,,A tornado/thunderstorm warning has been issued or has been lifted,,,,,
204690776,Cantor/GOP say no aid 2 tornado victims!! really! R these the ppl U want 2 run our country?? http://bit.ly/jrZKNd #Joplin,Informative,"Donations of money, goods or services",,,",# Joplin","Other, or not specified",Reports that something has been donated/provided/given/done,,
204690777,Damaging wind threat coming into Tulsa OK #tornado #okwx,Informative,Caution and advice,,Other,,,,,
204690778,Tornado sirens just went off in Tulsa.  http://twitpic.com/524dsf,Informative,Information source,,,,,,,
204690779,Sitting front and center at #StMichael city council tonight. Let's hope for a quieter night than 5-10-11 (two weeks ago) #tornado.,Personal,Caution and advice,,Other,,,,,
204690780,Only in Arkansas the ice-cream man would be still driving around neighborhoods when there's about to be a tornado!!  http://t.co/2TxXCJ0,Personal,Information source,,,,,,,
204690781,Joplin Missouri where at least 124 died Sunday under #tornado watch http://on.cnn.com/k1ZN2b,Informative,Casualties and damage,,,,,,,A tornado/thunderstorm warning has been issued or has been lifted
204690782,MSSU establishes fund for faculty staff and students impacted by tornado -... http://fb.me/GQiEYO0q,Informative,Caution and advice,,A tornado sighting/touchdown has been reported,,,,,
204690783,No Kris we didn't cut the budget so @ericcantor cancelled it RT @KrisKetz 3am tornado watch Kansas City metro extends south to Joplin.,Other,,,,,,,,
204690784,3am tornado watch Kansas City metro extends south to Joplin. #fb,Informative,Casualties and damage,,,,,,,A tornado/thunderstorm warning has been issued or has been lifted
204690785,Tornado sirens going off near DFW Airport!,Informative,Caution and advice,",DFW Airport",A siren has been heard,,,,,
204690786,Don't forget 2 check Safe & Well site if U R still not able 2 connect with #Joplin https://safeandwell.communityos.o ...,Informative,Information source,,,,,,,
204690788,@mpike4 RT @LJWorld: Tornado watches now cover ALL of northeast Kansas including Douglas County.  #ksstorms,Informative,Caution and advice,,Other,,,,,
204690789,Another very dangerous storm possible #tornado just NE of Leon #Oklahoma. Seek shelter NE of this cell! #OKWX Follow 4 updates.,Informative,Caution and advice,,A tornado sighting/touchdown has been reported,,,,,
204690790,U no y I luv twitter? Ive met peeps all across the usa. Can my tweeps pray/have good thoughts for my girl @soonerleesa? Shes in tornado ally,Personal,Caution and advice,,Other,,,,,
204690791,[Reuters US] Two dead from Oklahoma tornado: OKLAHOMA CITY (Reuters) - Two people died when a tornado struck El ... http://bit.ly/jhGE7r,Informative,Information source,,,,,,,
204690792,BREAKING - NWS says Joplin tornado was an EF-5 with wind speeds over 200 mph.  Death toll now at 122 with 750 hurt.,Informative,Casualties and damage,,,,,,,Other
204690793,New Tornado watch just issued for Triangle and NE NC. #ncwx,Informative,Caution and advice,,A tornado/thunderstorm warning has been issued or has been lifted,,,,,
204690794,URGENTE: Reportes de tornado han tocado tierra cerca a Russett Oklahoma reporta The Weather Channel.,Other,,,,,,,,
204690795,@Tyrese Actor @paulwalker47 's charity #ROWW.org needs #Donations so that they can deploy a team to #Joplin. Plz RT #HelpJoplin,Informative,"Donations of money, goods or services",,,",RT # HelpJoplin","Other, or not specified",Invites/asks people to donate/provide/give/do something,,
204690796,There is a tornado headed right for us.... 8:05 ETA,Informative,Caution and advice,,A tornado sighting/touchdown has been reported,,,,,
204690797,InfoMusic : Lauren Alaina's 'American Idol' Run Brightens Tornado-Weary Hometown http://dlvr.it/StK6t,Informative,Information source,,,,,,,
204690799,This dude on cnn is being interviewed about the tornado in a dominos pizza uniform,Personal,Caution and advice,,A tornado sighting/touchdown has been reported,,,,,
204690800,DEVELOPING: RT @MyTexasWeather: AMATEUR RADIO REPORTS SEVERAL HOMES DAMAGED BY TORNADO IN SPRINGTOWN TX (Parker Co ...,Informative,Caution and advice,",SPRINGTOWN TX ( Parker Co",A tornado sighting/touchdown has been reported,,,,,
204690801,Deadly tornado kills 124 leaves 'twilight zone' in its wake: The tornado that struck Joplin Missouri Sunday killed 124 people aut...,Informative,Casualties and damage,,,,,,,Other
204690802,Tornado watch just issued for Joplin Mo,Informative,Caution and advice,",Joplin Mo",Other,,,,,
204690803,#tornado victims USA is watching in horror with you.,Informative,Caution and advice,,Other,,,,,
204690804,Tornado in broken arrow http://ow.ly/1cQOkn,Informative,Information source,,,,,,,
204690805,Many Still Unaccounted for After Joplin Tornado http://p.ost.im/p/cmFcB,Informative,Information source,,,,,,,
204690806,St. John's Regional Medical Center employees please check in at 888-986-3729 they are wanting your status. #Joplin #fb,Informative,Casualties and damage,,,,,,",Joplin # fb",Other
204690807,And if a tornado comes Blas whatever you do save the espresso machine. - Bobby to the night shift http://tumblr.com/xsa2o7bt6p,Personal,Information source,,,,,,,
204690808,q2 @USAToday says the tornado in Joplin was one of the deadliest in history.  #agchat,Informative,Unknown,,,,,,,
204690809,NEW Tornado Watch now includes western #MO incl #KC #Joplin #Springfield until 3am...greater concern for damaging wind i ...,Personal,Casualties and damage,,,,,,,A tornado/thunderstorm warning has been issued or has been lifted
204690810,Tornado warning for Denton County until 8:15,Informative,Caution and advice,,A tornado/thunderstorm warning has been issued or has been lifted,,,,,
204690811,#Tornado Warning for Wise County. Storm moving east and will impact Denton county in the next 30 minutes.  #txwx,Informative,Caution and advice,,A tornado/thunderstorm warning has been issued or has been lifted,,,,,
204690812,Lurch thanks for all the tweets from Tornado Alley...#fail.,Personal,Caution and advice,,Other,,,,,
204690813,The tornado blew this bible verse in my back yard. Read the first line...that's disturbing.  http://twitpic.com/52435m,Personal,Information source,,,,,,,
204690814,wtf alerta de tornado no mams !!! Siguen sonando las alarmas bien intensas,Other,,,,,,,,
204690815,Deadly tornado kills 122 leaves 'twilight zone' in its wake: The tornado that struck Joplin Missouri Sunday killed 122 people aut...,Informative,Casualties and damage,,,,,,,Other
204690816,Tornado reported in Denton County Texas near I-35 W and FM 407.,Informative,Caution and advice,,A tornado sighting/touchdown has been reported,,,,,
204690817,Tornado watch issued for the #Joplin area until 3AM local time. #mowx,Informative,Caution and advice,,A tornado/thunderstorm warning has been issued or has been lifted,,,,,
204690818,@fairhope71 - Fanks! Dat tornado is 1 Dat pops down & den going back up again.,Informative,Caution and advice,,A tornado sighting/touchdown has been reported,,,,,
204690819,Piedmont #Oklahoma with just devastating damage near Arrowhead RD and Richmond RD. Tornado path approx 35 miles 1/2 mile wide.,Informative,Caution and advice,,A tornado sighting/touchdown has been reported,,,,,
204690820,Tornado threat spreading into North Texas. Cooke Wise and Parker Counties under Tornado Warnings currently,Informative,Caution and advice,,A tornado/thunderstorm warning has been issued or has been lifted,,,,,
204690821,-- Red Cross says cash now primary need in Joplin: http://t.co/sd4cmL1 @semissourian #Joplin #tornado #disa ...,Other,,,,,,,,
204690822,Uploading video of Canton OK tornado shot from aprox 200yards away contact @kdrmedia if intrested,Personal,Information source,,,,,,,
204690823,@calebturmanATOR when isn't there a tornado warning... especially where I'm at.,Personal,Caution and advice,,A tornado/thunderstorm warning has been issued or has been lifted,,,,,
204690824,My heart goes out to the people of #Joplin Missouri. Be strong you guys can make it through. #GodSpeed,Personal,"Donations of money, goods or services",,,,"Other, or not specified",Invites/asks people to donate/provide/give/do something,,
204690825,#OUN continues Tornado Watch for  Atoka Bryan Canadian Carter Cleveland Coal Garfield Garvin Grady Grant Hu ht ...,Informative,Caution and advice,,Other,,,,,
204690826,#OUN continues Tornado Watch for  Atoka Bryan Canadian Carter Cleveland Coal Garfield Garvin Grady Grant Hu ht ...,Informative,Caution and advice,,Other,,,,,
204690827,#joplin numerous TVS southwest of town 70 miles,Other,,,,,,,,
204690828,Love love love storms! We had a tornado warning last night though that was a bit much @Literarygrrrl @glennrogers42  @lympha13  #pubwrite,Personal,Caution and advice,,A tornado/thunderstorm warning has been issued or has been lifted,,,,,
204690829,Oklahoma Alabama Missouri tea party people.  Call Dick Armey about a free market solution to tornado damage.  We'll wait. ...,Personal,Casualties and damage,,,,,,,Other
204690830,Was watching @KFOR's tornado coverage earlier. Their chopper pilot went off the air to land and help people on the ground out. Amazing.,Informative,"Donations of money, goods or services",,,,"Other, or not specified",Invites/asks people to donate/provide/give/do something,,
204690832,The tornado is coming and I think I might die a virgin. #FML,Personal,Caution and advice,,Other,,,,,
204690833,Yup I havethis Grill turned on as this tornado heads right for is.  http://lockerz.com/s/104527524,Personal,Information source,,,,,,,
204690834,Weather service issues #tornado watch for western Missouri extreme eastern Kansas http://on.cnn.com/k1ZN2b,Informative,Caution and advice,,A tornado/thunderstorm warning has been issued or has been lifted,,,,,
204690835,Damaging wind threat coming into Tulsa OK #tornado #okwx,Informative,Caution and advice,,Other,,,,,
204690836,#Denton County Texas.  Live stream of #Skywarn ops for #Tornado Warning http://bit.ly/kTSVg3 @Ants_SNEweather @Boston_FF_L29 @JimCantore,Informative,Caution and advice,,A tornado/thunderstorm warning has been issued or has been lifted,,,,,
204690837,Tornado Kills two in Suburban Oklahoma City: An emergency official says a tornado has killed 2 people in suburba... http://bit.ly/iiyjZK,Informative,Information source,,,,,,,
204690838,House is fine a bit messy inside but that has nothing to do with the tornados.  #okwx,Personal,Caution and advice,,A tornado sighting/touchdown has been reported,,,,,
204690839,Praying for the Missouri tornado victims :( &lt;3 god bless,Informative,"Donations of money, goods or services",,,,"Other, or not specified",Reports that something has been donated/provided/given/done,,
204690840,Poor #Joplin. Those poor people. :(,Personal,Unknown,,,,,,,
204690842,0_0 whr? hpe u ok RT @Darkskin: Just took cover...damn Tornado landed about 15 minutes ago. Sirens and alarms are going off like crazy.,Informative,Caution and advice,,A siren has been heard,,,,,
204690843,Wooden cross only thing left standing after tornado at St. Mary's church in Joplin MO. #endofdays #comingsoon,Informative,Casualties and damage,,,,,,,Other
204690844,Tornado on the ground near Dallas but no break-in coverage?,Informative,Caution and advice,,A tornado sighting/touchdown has been reported,,,,,
204690845,Reported Tornado on the ground North of Bartlesville. Take shelter.,Informative,Caution and advice,,A tornado sighting/touchdown has been reported,,,,,
204690846,Tornado watch issued for Kansas city area and #joplin #kcstorms #ksstorms,Informative,Caution and advice,,A tornado/thunderstorm warning has been issued or has been lifted,,,,,
204690847,Seeing tornado warning now in Wise County TX  #weather #tornadoes #txlege,Informative,Caution and advice,,A tornado/thunderstorm warning has been issued or has been lifted,,,,,
204690848,@JimCantore 15 minutes ago raining debris north of Shawnee OK north I-40. #tornado,Informative,Caution and advice,,A tornado sighting/touchdown has been reported,,,,,
204690849,Multiple #tornado reports in Tarrant County. Heading at D/FW airport. #txwx #severe,Informative,Caution and advice,,A tornado sighting/touchdown has been reported,,,,,
204690850,Tornado in Denton County TX now reported to be near Lantana. Warning info and radar: http://wxch.nl/laelgs,Informative,Caution and advice,,A tornado/thunderstorm warning has been issued or has been lifted,,,,,
204690851,Tornado in Oklahoma on the ground for 50 miles. Unheard of. #prayersneeded,Informative,Caution and advice,,A tornado sighting/touchdown has been reported,,,,,
204690852,Joplin tornado now rated EF 5 w/over 200mph. A similar monster twister now moving thru central OK!!,Informative,Caution and advice,,A tornado sighting/touchdown has been reported,,,,,
204690853,Possible #tornado on the ground SW of Agnes #Texas. SEEK SHELTER IN SPRINGTOWN TEXAS! #TXWX Follow 4 updates.,Informative,Caution and advice,,A tornado sighting/touchdown has been reported,,,,,
204690854,Washington OK Tornado 5/24 http://instagr.am/p/Eri_L/,Informative,Information source,,,,,,,
204690855,Apply padding then pressure with fist into groin for severe leg bleeds #1stAid4 #okwx #Joplin,Informative,Caution and advice,,Other,,,,,
204690856,A storm with circulation remains near Seminole to the Northeast toward Prague Boley and Stroud. Be prepared to take tornado ...,Informative,Caution and advice,,A tornado sighting/touchdown has been reported,,,,,
204690857,CRAP RT @Lawsonbulk: Tornado watch just issued for Joplin Mo,Informative,Caution and advice,",Joplin Mo",A tornado/thunderstorm warning has been issued or has been lifted,,,,,
204690858,Even more -- RT @NBCDFWWeather: Tornado Warning for Cooke Cty.  - Possible tornado 8 miles west of Valley View.  Rshade,Informative,Caution and advice,,A tornado/thunderstorm warning has been issued or has been lifted,,,,,
204690859,Here is a link where you can see what your area is doing to help those affected by the Joplin tornado http://on.fb.me/lsGDh0. #prayforjoplin,Informative,"Donations of money, goods or services",,,,"Other, or not specified",Invites/asks people to donate/provide/give/do something,,
204690860,Glad I could help @TrekJen #Joplin,Personal,"Donations of money, goods or services",,,",TrekJen # Joplin","Other, or not specified",Invites/asks people to donate/provide/give/do something,,
204690861,TORNADO WARNING - DENTON COUNTY  8:15P,Informative,Caution and advice,,A tornado/thunderstorm warning has been issued or has been lifted,,,,,
204690862,Actor @paulwalker47 's charity #ROWW needs #Donations so that they can deploy a team to #Joplin. Please visit www.ROWW.org ..#HelpJoplin RT,Informative,"Donations of money, goods or services",,,",# HelpJoplin RT","Other, or not specified",Invites/asks people to donate/provide/give/do something,,
204690863,#tornado warring for Northern Parker county #texas,Informative,Caution and advice,,A tornado/thunderstorm warning has been issued or has been lifted,,,,,
204690864,State EOC remains activated due to severe weather - Situation Update #2  http://1.usa.gov/jdXnJ1 #okwx,Informative,Information source,,,,,,,
204690865,Is everyone forgetting that Missouri is right next to Kansas? It's fricking tornado alley. THIS IS NOT UNEXPECTED.,Personal,Caution and advice,,A tornado sighting/touchdown has been reported,,,,,
204690866,Joplin in tornado watch box....nxt 4-5 hrs,Informative,Caution and advice,,Other,,,,,
204690867,Hope it doesnt happen. RT @cnnbrk: Joplin Missouri where at least 124 died Sunday under #tornado watch http://on.cnn.com/k1ZN2b,Informative,Casualties and damage,,,,,,,Other
204690868,Rain tornado rain rain more tornadoes. http://wapo.st/j814SD #springfromhell,Informative,Information source,,,,,,,
204690869,Tornado arning for Casewell and Rockingham Counties NC until 9:15pm via TWC TV,Informative,Caution and advice,",TWC",A tornado sighting/touchdown has been reported,,,,,
204690870,Video of KFOR-TV storm chaser nearly getting hit by power pole during tornado chase -- http://is.gd/eC7WOw,Informative,Information source,,,,,,,
204690871,"In #Reno Texas 3.5"" hail showing up on RADAR...works well with softball sized hail for W Tarrant County #Texas.  #TXwx",Informative,Caution and advice,,Other,,,,,
204690872,Joplin tornado was EF5. The Finger Of God. 6 miles long 1800 acres of destruction 1500 missing 126 dead. #nowords,Informative,Casualties and damage,,,,,,,A tornado sighting/touchdown has been reported
204690873,NWS DETECTED A DEVELOPING TORNADO 7 MILES NORTHEAST OF MINERAL WELLS STATE PARK... MOVING EAST AT 40 MPH,Informative,Caution and advice,,A tornado sighting/touchdown has been reported,,,,,
204690874,[#WhataNews]: ÃƒÂ¥ÃƒÂˆ Tornado no Missouri matou 122 http://bit.ly/j7JvBs,Other,,,,,,,,
204690875,@wakingrose87 Tornado touches down in Canadian county Oklahoma! That near your area??,Informative,Caution and advice,,A tornado sighting/touchdown has been reported,,,,,
204690876,This is out of control.  #arwx RT @nwbartholomew: Word on the street is that NWA Wal*Marts have closed in anticipation of the storms.,Informative,Caution and advice,,Other,,,,,
204690877,#Tornado earlier near Chickasha OK via @myria101.  This is headed toward Moore NW Norman S. Okla. City!!  http:/ ...,Informative,Information source,,,,,,,
204690878,My prayers goes to Oklahoma after this tornado nothing will be the same,Personal,Caution and advice,,A tornado sighting/touchdown has been reported,,,,,
204690880,A little bit of rotation but no tornado yet forming near Little-OK. Y'all keep safe and sheltered. #OKWX,Informative,Caution and advice,,A tornado sighting/touchdown has been reported,,,,,
204690881,I just know the tornado alerts are gonna get in the way. It's not that IDC; I just wish the weather could get itself together for Glee.,Personal,Caution and advice,,Other,,,,,
204690882,EUA | Tornado que arrasou Joplin e deixou mais de 120 mortos recebe classificaÃƒÂŒÃ‚Â¤ÃƒÂŒÃ‚Â£o final de EF5 mÃƒÂŒÃƒÂximo da escala Fujita (mai ...,Other,,,,,,,,
204690883,A #Tornado Warning issued for for Denton & Wise County in #TX until 8:15pm CDT. Get this! Tornado watch for #Joplin until 3am local time.,Informative,Caution and advice,,A tornado/thunderstorm warning has been issued or has been lifted,,,,,
204690884,DIRK HELP US!! // RT @wfaaep: TORNADO WARNING - DENTON COUNTY  8:15PM,Informative,Caution and advice,,A tornado/thunderstorm warning has been issued or has been lifted,,,,,
204690885,Even more -- RT @NBCDFWWeather: Tornado Warning for Cooke Cty.  - Possible tornado 8 miles west of Valley View.  Rshade,Informative,Caution and advice,,A tornado/thunderstorm warning has been issued or has been lifted,,,,,
204690886,Joplin najtragiczniejsze tornado od 60 lat: http://t.co/FsEqdUo,Informative,Information source,,,,,,,
204690887,Sirens going off in Tarrant County Texas. Go to your shelter! Take no chances today. #txwx,Informative,Caution and advice,,A siren has been heard,,,,,
204690888,OK AL MO tea party people - Call Dick Armey about a free market solution to tornado damage. We'll wait. #p2,Personal,Casualties and damage,,,,,,,Other
204690889,Possible developing tornado between Peaster & Poolville in northern Parker Co.  Tornado Warnings in effect in Parker Wise & Cooke Co.s - DF,Informative,Caution and advice,,A tornado/thunderstorm warning has been issued or has been lifted,,,,,
204690890,This weather blows. #puns #prayers #tornado #oklahomacity #oklahoma #joplin  #missouri,Personal,Caution and advice,,Other,,,,,
204690891,Excuse my rambling in the video I just posted. Just take in the scenery and read the bottom to volunteer/donate. #Joplin,Personal,Information source,,,,,,,
204690892,#Tornado outbreak beginning in North Texas. #txwx,Informative,Caution and advice,,A tornado sighting/touchdown has been reported,,,,,
204690893,#Tornado outbreak beginning in North Texas. #txwx,Informative,Caution and advice,,A tornado sighting/touchdown has been reported,,,,,
204690895,OK news reporting fatality due to SOFTBALL sized #hail! Please seek shelter if you're in the path of these monsters! #severewx #tornado,Informative,Caution and advice,,A tornado sighting/touchdown has been reported,,,,,
204690896,please pray for the tornado victims.. PLEASE..,Personal,Unknown,,,,,,,
204690897,Tornado straight ran through his truck hope he's okay.  http://lockerz.com/s/104523996,Informative,Information source,,,,,,,
204690898,Please donate what you can to help and assist #Joplin and those impacted by the most recent tornadoes and those on the ...,Personal,"Donations of money, goods or services",,,,"Other, or not specified",Invites/asks people to donate/provide/give/do something,,
204690899,The Timbers will collect for the Red Cross  to help tornado victims at Sunday's match.  Capt. Jack Jewsbury is a nat ...,Informative,"Donations of money, goods or services",,,,"Other, or not specified",Invites/asks people to donate/provide/give/do something,,
204690900,Shoes will be on the way to #Joplin this weekend via our partners @crosspoint_tv @Soles4Souls @cpmissions,Informative,Unknown,,,,,,,
204690901,How are 1500 still unaccounted for in #Joplin!???,Informative,Caution and advice,,Other,,,,,
204690902,Praying for #Joplin,Personal,Unknown,,,,,,,
204690903,Posible #Tornado on ground near Admore #Oklahoma. People should seek shelter now! #OK,Informative,Caution and advice,,A tornado sighting/touchdown has been reported,,,,,
